payment_id,posted_date,amount,currency,memo,account_last4
PAY-8801,2026-04-10,-12840.00,USD,ACH NORTHSTAR CLINICS INV-5001 acct 1822,1822
PAY-8802,2026-04-15,-7310.55,USD,WIRE MERIDIAN LABS inv-5002 acct 4410,4410
PAY-8803,2026-04-09,-22100.00,USD,ACH HELIX IMAGING INV-5003 acct 9099,9099
PAY-8804,2026-04-16,-890.40,USD,ACH QUICKSPLY MED PO-404 acct 3104,3104
PAY-8805,2026-04-21,-6420.00,USD,ACH WILLOW HEALTH manual batch acct 2255,2255
PAY-8806,2026-04-22,-18450.00,USD,WIRE ATLAS BIOMED INV-5005 acct 7711,7711
PAY-8807,2026-04-24,-3100.00,USD,ACH MERIDIAN LABS INV-5007 acct 4410,4410
PAY-8808,2026-04-24,-3100.00,USD,ACH MERIDIAN LABS INV-5007 duplicate run acct 4410,4410
PAY-8809,2026-04-25,-4900.00,USD,WIRE HELIX IMAGING INV-5008 acct 9099,9099
PAY-8810,2026-04-28,-2100.00,USD,ACH HELIX IMAGING INV-5009 acct 8088,8088
PAY-8811,2026-04-27,-2000.00,USD,ACH WILLOW HEALTH batch INV-5010 / INV-5011 acct 2255,2255
PAY-8812,2026-04-23,-990.00,USD,ACH QUICKSPLY MED INV-5012 early pay acct 3104,3104
DEP-1042,2026-04-25,2200.00,USD,CLIENT REFUND REVERSAL,0000
